game_id,game_date,season,home_team,away_team,home_win,home_win_rate_l10,away_win_rate_l10,diff_win_rate_l10,home_avg_points_l10,away_avg_points_l10,diff_avg_points_l10,home_avg_rebounds_l10,away_avg_rebounds_l10,diff_avg_rebounds_l10,home_avg_assists_l10,away_avg_assists_l10,diff_avg_assists_l10,home_avg_fg_pct_l10,away_avg_fg_pct_l10,diff_avg_fg_pct_l10,home_avg_fg3_pct_l10,away_avg_fg3_pct_l10,diff_avg_fg3_pct_l10
0022501168,2026-04-09,22025,New York Knicks,Boston Celtics,1,0.7,0.8,-0.10000000000000009,116.6,116.1,0.5,44.6,47.7,-3.1000000000000014,28.3,24.2,4.100000000000001,0.5005,0.4835999999999999,0.016900000000000026,0.3866,0.3791,0.007500000000000007
0022501169,2026-04-09,22025,Houston Rockets,Philadelphia 76ers,1,0.8,0.6,0.20000000000000007,121.4,121.5,-0.09999999999999432,47.4,45.2,2.1999999999999957,30.0,26.5,3.5,0.4968000000000001,0.48389999999999994,0.012900000000000134,0.3951,0.375,0.020100000000000007
0022501170,2026-04-09,22025,Golden State Warriors,Los Angeles Lakers,0,0.4,0.6,-0.19999999999999996,113.1,116.0,-2.9000000000000057,39.8,42.6,-2.8000000000000043,28.2,25.4,2.8000000000000007,0.481,0.5048,-0.023800000000000043,0.36510000000000004,0.3381,0.027000000000000024
0022501171,2026-04-10,22025,Charlotte Hornets,Detroit Pistons,0,0.7,0.7,0.0,118.2,119.0,-0.7999999999999972,46.7,43.1,3.6000000000000014,26.3,32.1,-5.800000000000001,0.47619999999999996,0.5115999999999999,-0.03539999999999999,0.37839999999999996,0.41819999999999996,-0.0398
0022501172,2026-04-10,22025,Washington Wizards,Miami Heat,0,0.1,0.3,-0.19999999999999998,114.9,120.8,-5.8999999999999915,40.9,42.7,-1.8000000000000043,24.8,29.9,-5.099999999999998,0.47470000000000007,0.47650000000000003,-0.0017999999999999683,0.33819999999999995,0.36700000000000005,-0.028800000000000103
0022501173,2026-04-10,22025,Atlanta Hawks,Cleveland Cavaliers,1,0.7,0.8,-0.10000000000000009,123.1,123.3,-0.20000000000000284,43.8,44.5,-0.7000000000000028,29.0,28.5,0.5,0.487,0.5095000000000001,-0.022500000000000075,0.3928,0.3539,0.03889999999999999
0022501174,2026-04-10,22025,Boston Celtics,New Orleans Pelicans,1,0.7,0.2,0.49999999999999994,115.0,112.6,2.4000000000000057,46.2,41.0,5.200000000000003,24.6,24.9,-0.29999999999999716,0.48389999999999994,0.465,0.018899999999999917,0.3901,0.3581,0.03200000000000003
0022501175,2026-04-10,22025,Indiana Pacers,Philadelphia 76ers,0,0.4,0.5,-0.09999999999999998,121.3,117.8,3.5,41.1,45.0,-3.8999999999999986,34.8,25.4,9.399999999999999,0.5109,0.47859999999999997,0.03230000000000005,0.40540000000000004,0.36219999999999997,0.04320000000000007
0022501176,2026-04-10,22025,New York Knicks,Toronto Raptors,1,0.7,0.6,0.09999999999999998,114.2,120.4,-6.200000000000003,42.7,41.6,1.1000000000000014,27.4,34.0,-6.600000000000001,0.5003,0.5156000000000001,-0.015300000000000091,0.3856,0.4064,-0.020799999999999985
0022501177,2026-04-10,22025,Chicago Bulls,Orlando Magic,0,0.3,0.6,-0.3,120.0,118.6,1.4000000000000057,45.9,41.3,4.600000000000001,27.0,27.4,-0.3999999999999986,0.4689,0.47919999999999996,-0.010299999999999976,0.32720000000000005,0.35500000000000004,-0.02779999999999999
0022501178,2026-04-10,22025,Houston Rockets,Minnesota Timberwolves,0,0.8,0.4,0.4,120.4,109.0,11.400000000000006,48.3,43.1,5.199999999999996,28.8,23.9,4.900000000000002,0.4897,0.4384,0.05130000000000001,0.3838,0.3525,0.031299999999999994
0022501179,2026-04-10,22025,Milwaukee Bucks,Brooklyn Nets,1,0.2,0.3,-0.09999999999999998,107.2,104.6,2.6000000000000085,39.0,33.6,5.399999999999999,25.0,23.5,1.5,0.4593,0.45200000000000007,0.007299999999999918,0.3875,0.3296,0.05790000000000001
0022501180,2026-04-10,22025,San Antonio Spurs,Dallas Mavericks,1,0.9,0.2,0.7,125.5,116.1,9.400000000000006,50.4,43.1,7.299999999999997,32.0,25.3,6.699999999999999,0.5054000000000001,0.445,0.060400000000000065,0.3653,0.32939999999999997,0.03590000000000004
0022501181,2026-04-10,22025,Utah Jazz,Memphis Grizzlies,1,0.0,0.1,-0.1,117.5,111.9,5.599999999999994,41.6,34.1,7.5,30.5,25.3,5.199999999999999,0.46980000000000005,0.44930000000000003,0.020500000000000018,0.3233,0.3628,-0.039500000000000035
0022501182,2026-04-10,22025,Denver Nuggets,Oklahoma City Thunder,1,1.0,0.9,0.09999999999999998,130.6,125.6,5.0,45.9,46.3,-0.3999999999999986,33.1,27.9,5.200000000000003,0.5207,0.5157,0.0050000000000000044,0.4163,0.3971,0.019199999999999995
